0.45,391
0.452,354
0.454,372
0.456,344
0.458,347
0.46,345
0.462,351
0.464,298
0.466,278
0.468,368
0.47,319
0.472,300
0.474,295
0.476,325
0.478,289
0.48,312
0.482,289
0.484,283
0.486,307
0.488,308
0.49,357
0.492,423
0.494,423
0.496,437
0.498,398
0.5,345
0.502,303
0.504,301
0.506,301
0.508,275
0.51,285
0.512,259
0.514,252
0.516,277
0.518,291
0.52,265
0.522,247
0.524,281
0.526,281
0.528,300
0.53,247
0.532,256
0.534,264
0.536,307
0.538,286
0.54,285
0.542,271
0.544,254
0.546,251
0.548,249
0.55,262
0.552,273
0.554,271
0.556,276
0.558,261
0.56,219
0.562,215
0.564,257
0.566,260
0.568,268
0.57,277
0.572,274
0.574,273
0.576,292
0.578,289
0.58,302
0.582,316
0.584,377
0.586,500
0.588,662
0.59,958
0.592,1256
0.594,1325
0.596,1176
0.598,902
0.6,671
0.602,477
0.604,398
0.606,352
0.608,325
0.61,283
0.612,273
0.614,293
0.616,291
0.618,290
0.62,267
0.622,269
0.624,247
0.626,253
0.628,266
0.63,248
0.632,241
0.634,224
0.636,247
0.638,260
0.64,259
0.642,235
0.644,232
0.646,232
0.648,253
0.65,248
0.652,249
0.654,276
0.656,321
0.658,414
0.66,550
0.662,774
0.664,787
0.666,566
0.668,492
0.67,305
0.672,278
0.674,256
0.676,229
0.678,244
0.68,206
0.682,232
0.684,208
0.686,193
0.688,216
0.69,208
0.692,203
0.694,195
0.696,202
0.698,213
0.7,221
0.702,195
0.704,216
0.706,187
0.708,207
0.71,204
0.712,226
0.714,211
0.716,222
0.718,233
0.72,203
0.722,205
0.724,215
0.726,194
0.728,196
0.73,240
0.732,263
0.734,325
0.736,326
0.738,325
0.74,333
0.742,231
0.744,240
0.746,228
0.748,220
0.75,199
0.752,202
0.754,213
0.756,195
0.758,212
0.76,190
0.762,202
0.764,232
0.766,209
0.768,218
0.77,188
0.772,199
0.774,211
0.776,190
0.778,224
0.78,208
0.782,240
0.784,226
0.786,220
0.788,201
0.79,226
0.792,180
0.794,214
0.796,209
0.798,232
0.8,221
0.802,234
0.804,224
0.806,231
0.808,255
0.81,216
0.812,231
0.814,266
0.816,216
0.818,232
0.82,249
0.822,224
0.824,273
0.826,234
0.828,282
0.83,259
0.832,277
0.834,290
0.836,288
0.838,329
0.84,323
0.842,375
0.844,379
0.846,458
0.848,513
0.85,689
0.852,805
0.854,1218
0.856,1838
0.858,2708
0.86,3778
0.862,4445
0.864,4006
0.866,3085
0.868,2097
0.87,1447
0.872,968
0.874,659
0.876,564
0.878,484
0.88,422
0.882,421
0.884,418
0.886,404
0.888,358
0.89,386
0.892,353
0.894,432
0.896,451
0.898,499
0.9,569
0.902,551
0.904,546
0.906,428
0.908,389
0.91,352
0.912,292
0.914,238
0.916,256
0.918,264
0.92,205
0.922,218
0.924,213
0.926,211
0.928,213
0.93,209
0.932,196
0.934,200
0.936,203
0.938,240
0.94,212
0.942,195
0.944,210
0.946,229
0.948,190
0.95,189
0.952,202
0.954,194
0.956,175
0.958,216
0.96,213
0.962,193
0.964,235
0.966,193
0.968,204
0.97,198
0.972,223
0.974,217
0.976,219
0.978,201
0.98,204
0.982,206
0.984,210
0.986,249
0.988,251
0.99,256
0.992,256
0.994,243
0.996,270
0.998,235
1,269
1.002,281
1.004,276
1.006,256
1.008,287
1.01,264
1.012,281
1.014,299
1.016,346
1.018,460
1.02,581
1.022,778
1.024,1220
1.026,1602
1.028,1885
1.03,1821
1.032,1472
1.034,1106
1.036,757
1.038,529
1.04,399
1.042,340
1.044,285
1.046,280
1.048,254
1.05,216
1.052,262
1.054,248
1.056,222
1.058,244
1.06,233
1.062,238
1.064,253
1.066,220
1.068,237
1.07,264
1.072,250
1.074,291
1.076,284
1.078,338
1.08,318
1.082,318
1.084,297
1.086,262
1.088,285
1.09,249
1.092,264
1.094,229
1.096,252
1.098,249
1.1,243
1.102,206
1.104,238
1.106,212
1.108,237
1.11,249
1.112,244
1.114,270
1.116,260
1.118,295
1.12,285
1.122,314
1.124,302
1.126,318
1.128,324
1.13,305
1.132,306
1.134,282
1.136,306
1.138,300
1.14,266
